ShaderPreCompiler: Disabled, debugging variants to pre-compile.
02-11 10:04:09.780  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Unlit/Unlit_TransparentColor (instance 0x176), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 3.7 ms
02-11 10:04:58.412  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Card/Unlit_Portrait (instance 0x5268), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 35 ms
02-11 10:04:58.438  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Card/Unlit_Desaturate_2Texture2uv (instance 0x5888), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 25 ms
02-11 10:04:58.461  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Card/UnlitTexture (instance 0x50E8), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 23 ms
02-11 10:04:58.464  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Effects/FX_Transparent_ColorAsAlpha (instance 0x51C2), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 2.1 ms
02-11 10:04:58.476  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Additive/Additive (instance 0x233BA), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 12 ms
02-11 10:04:58.477  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Selection/Highlight (instance 0x1AA), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.41 ms
02-11 10:04:58.492  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/ContactShadow (instance 0x1B0), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 15 ms
02-11 10:04:58.503  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/AddMultiply/AddMultiplyFXScrollingManual (instance 0x5312), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 11 ms
02-11 10:04:58.568  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Particle/Particle Additive (instance 0x5158), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 12 ms
02-11 10:04:59.066  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/HistoryTilePortrait (instance 0x50E4), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 6.8 ms
02-11 10:04:59.096  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Uber/UberCardBack (instance 0x5420), pass: <Unnamed Pass 0>, keywords _LAYER1_FLOWMAP, time: 29 ms
02-11 10:04:59.146  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/BaconLeaderboardArmor (instance 0x184B6), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 49 ms
02-11 10:04:59.257  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/FullScreen/BlendToColor (instance 0x1CA), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.53 ms
02-11 10:05:00.691  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Obsolete/Pegasus/DiffuseMaskUV2PanAlpha (instance 0x553A), pass: <Unnamed Pass 0>, keywords _ADDITIONAL_LIGHTS, time: 0.51 ms
02-11 10:05:00.716  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/MaskUV2PanUV1Alpha (instance 0x51F6), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.31 ms
02-11 10:05:05.016  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Card/Unlit_2Texture2uv (instance 0x546E), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 13 ms
02-11 10:05:05.073  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hidden/Text_Bold (instance 0x32), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 57 ms
02-11 10:05:07.291  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Multiply/Multiply_AlphaFade (instance 0x54CA), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 2.6 ms
02-11 10:05:07.362  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Sprites/Default (instance 0x15DF9C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 1 ms
02-11 10:05:07.843  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Sprites/Default (instance 0x31F7C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.81 ms
02-11 10:05:09.423  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/FullScreen/Vignetting (instance 0x1AC), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 1.2 ms
02-11 10:05:09.430  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_NONE _DISSOLVE_NONE _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NONE _TEXTURETYPE_RGBA, time: 7.6 ms
02-11 10:05:09.439  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Particle/Particles_Transparent_ColorAsAlpha (instance 0x5B00), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 8.5 ms
02-11 10:05:11.687  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Additive/AdditivePower (instance 0x5A7C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.51 ms
02-11 10:05:12.418  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Particle/Particle_AddMultiply (instance 0x52E0), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 1 ms
02-11 10:05:16.809  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Additive/Additive (instance 0x2121F8), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 5.5 ms
02-11 10:05:20.931  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Uber/UberGoldenCard (instance 0x18436), pass: <Unnamed Pass 0>, keywords _LAYER1_FLOWMAP _LAYER2_FLOWMAP _LAYER3 _LAYER3_FLOWMAP, time: 0.37 ms
02-11 10:05:20.956  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Uber/UberGoldenCard (instance 0x18436), pass: <Unnamed Pass 1>, keywords <no keywords>, time: 25 ms
02-11 10:05:20.967  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Card/UnlitDesat (instance 0x5C6C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 10 ms
02-11 10:05:20.982  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Selection/Highlight (instance 0x50DC), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 16 ms
02-11 10:05:25.925  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Self-Illumin_DiffuseTransparent (instance 0x6670), pass: <Unnamed Pass 0>, keywords _ADDITIONAL_LIGHTS, time: 0.25 ms
02-11 10:05:26.541  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Additive/Additive (instance 0x1CE52), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.45 ms
02-11 10:05:27.997  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/DepthReserve (instance 0x565A), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 4.3 ms
02-11 10:05:28.018  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Unlit/Transparent Cutout (instance 0x1CD42), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 21 ms
02-11 10:05:28.024  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Sprites/Default (instance 0xC32A), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 6.4 ms
02-11 10:05:28.025  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Sprites/Default (instance 0x21BA62), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.34 ms
02-11 10:05:28.025  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Selection/Highlight (instance 0x2903C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.19 ms
02-11 10:05:28.215  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Effects/DiffuseEmissive (instance 0x15A), pass: <Unnamed Pass 0>, keywords _ADDITIONAL_LIGHTS, time: 1.7 ms
02-11 10:05:28.215  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Particle/Particles_Transparent (instance 0x19C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.05 ms
02-11 10:05:31.802  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: VAT/Depth_Mask (instance 0x18452), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 1.1 ms
02-11 10:05:31.808  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: VAT/Diffuse_Additive_Scroll (instance 0x58C6), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 6.3 ms
02-11 10:05:31.847  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: VAT/Unlit_Diffuse (instance 0x18432), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 39 ms
02-11 10:05:31.872  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_NONE _DISSOLVE_SECONDALPHA _SECONDTEXTURETYPE_RGBA _SECONDTEXTURE_MASK _TEXTURETYPE_RGBA, time: 24 ms
02-11 10:05:31.890  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_NONE _SCROLLING_ON _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NOISEUV _TEXTURETYPE_RGBA, time: 18 ms
02-11 10:05:31.905  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/ARTT_AlphaOpaqueFill (instance 0x1837E), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 14 ms
02-11 10:05:31.913  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: VAT/Simple_Scroll (instance 0x18450), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 8 ms
02-11 10:05:31.930  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_SECONDALPHA _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_MASK _TEXTURETYPE_RGBA, time: 17 ms
02-11 10:05:31.930  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_RAMP _DISSOLVE_SECONDALPHA _SCROLLING_ON _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_MASK _TEXTURETYPE_AAAA, time: 0.079 ms
02-11 10:05:31.930  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_NONE _DISSOLVE_NONE _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NONE _TEXTURETYPE_MAKEBW, time: 0.054 ms
02-11 10:05:31.930  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_NONE _DISSOLVE_NONE _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_MASK _TEXTURETYPE_RGBA, time: 0.078 ms
02-11 10:05:31.934  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Card/Unlit_2Texture2uv_DiamondBG (instance 0x18456), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.38 ms
02-11 10:05:31.947  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Card/UnlitTextureReflection (instance 0x5596), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 12 ms
02-11 10:05:31.959  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hidden/Universal Render Pipeline/FallbackError (instance 0xB74DA), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 12 ms
02-11 10:05:31.965  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Uber/UberCardBack (instance 0x5420), pass: <Unnamed Pass 0>, keywords _LAYER1_FLOWMAP _LAYER3_FLOWMAP, time: 5.5 ms
02-11 10:05:31.994  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Uber/UberCardBack (instance 0x5420), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 29 ms
02-11 10:05:32.021  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Uber/UberGoldenCard (instance 0x18436), pass: <Unnamed Pass 0>, keywords _LAYER4, time: 26 ms
02-11 10:05:32.051  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hidden/InternalErrorShader (instance 0x88), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 31 ms
02-11 10:05:32.054  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Card/UnlitDualClassTextureTint (instance 0x18468), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 2.3 ms
02-11 10:05:32.065  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Additive/Additive (instance 0x22F86), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 10 ms
02-11 10:05:32.065  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hidden/TextShadow (instance 0x3E), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.18 ms
02-11 10:05:32.075  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Sprites/Default (instance 0x22A9B4), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 9.6 ms
02-11 10:05:32.076  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: R2TTransparent (instance 0x1DC), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.35 ms
02-11 10:05:32.087  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hidden/TextPlane (instance 0x40), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 11 ms
02-11 10:05:32.094  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Sprites/Default (instance 0x22AC48), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 6.9 ms
02-11 10:05:35.224  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/Unlit/Unlit_Fresnel (instance 0x5BEE), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 0.29 ms
02-11 10:05:37.143  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Hero/AddMultiply/AddMultiplyDistortion (instance 0x5114), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 1.8 ms
02-11 10:05:40.172  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Custom/Card/GoldenPortraitUber (instance 0x16C72), pass: CardUber, keywords FX3_ADDBLEND LAYER3, time: 8.8 ms
02-11 10:05:40.281  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: VAT/Distortion (instance 0x183D4), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 1.1e+02 ms
02-11 10:05:40.310  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: VAT/Unlit_Transparent (instance 0x543C), pass: <Unnamed Pass 0>, keywords <no keywords>, time: 29 ms
02-11 10:05:40.332  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: FX/CommonFX (instance 0x50F4), pass: FORWARD, keywords _COLORING_NONE _DISSOLVE_NONE _SECONDTEXTURETYPE_RGBR _SECONDTEXTURE_NOISEUV _TEXTURETYPE_RGBA, time: 22 ms
02-11 10:05:40.332  9731  9778 D Unity   : Uploaded shader variant to the GPU driver: Universal Render Pipeline/Particles/Unlit (instance 0x2CB22E), pass: ForwardLit, keywords _SURFACE_TYPE_TRANSPARENT, time: 0.13 ms
